createdAt,userName,action,entityType,entityId,description
2026-09-15T15:10:40.835Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T14:58:35.075Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:49:32.502Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T12:49:04.379Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T12:48:28.941Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:46:18.731Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:45:26.373Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:44:50.654Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:28:28.398Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T12:13:25.488Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-15T12:13:14.930Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-15T11:56:29.623Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T11:56:13.835Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-15T11:56:07.933Z,Wisnuazi,auth.loginFailed,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"Percobaan login gagal (password salah) untuk ""Wisnuazi"""
2026-09-14T10:32:49.546Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-14T10:32:33.180Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-14T07:27:02.250Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T07:19:45.793Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-14T07:19:34.674Z,Tarmono,auth.loginFailed,Auth,cmtr1g3e4000qjvs0qkxak1vt,"Percobaan login gagal (password salah) untuk ""Tarmono"""
2026-09-14T07:19:16.828Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T07:05:40.977Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T06:50:54.406Z,Firman,auth.login,Auth,cmtr1g3fg0011jvs00u4a8s3q,"""Firman"" login"
2026-09-14T06:50:50.336Z,Dirga,auth.loginFailed,Auth,cmtr1g3fu0015jvs0u5ztl62b,"Percobaan login gagal (password salah) untuk ""Dirga"""
2026-09-14T06:50:41.099Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T06:50:32.653Z,Wisnuazi,auth.loginFailed,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"Percobaan login gagal (password salah) untuk ""Wisnuazi"""
2026-09-14T06:49:58.481Z,Wisnuazi,auth.loginFailed,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"Percobaan login gagal (password salah) untuk ""Wisnuazi"""
2026-09-14T06:49:51.618Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
