createdAt,userName,action,entityType,entityId,description
2026-09-15T15:10:40.835Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T14:58:35.075Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T13:26:56.784Z,Super Admin,sop.create,SOP,cmu2phfyd001qrm01kdmtgvjt,"Membuat SOP ""sadasd"""
2026-09-15T13:26:45.585Z,Super Admin,workflow.create,Workflow,cmu2ph7ax001mrm01zml6o7u2,"Membuat workflow ""tes"""
2026-09-15T12:49:32.502Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T12:49:04.379Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T12:48:28.941Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:47:39.964Z,Super Admin,user.create,User,cmu2o2xf40016rm01llgwm37x,"Membuat akun user ""taufiq"" (taufiq@vortecsystem.com)"
2026-09-15T12:47:13.130Z,Super Admin,user.delete,User,cmu2o2122000vrm01hm4f3nev,"Menghapus akun user ""taufiq"""
2026-09-15T12:46:58.028Z,Super Admin,user.create,User,cmu2o2122000vrm01hm4f3nev,"Membuat akun user ""taufiq"" (taufiq@vortecsystem)"
2026-09-15T12:46:18.731Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:45:26.373Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:45:25.721Z,Super Admin,user.update,User,cmtr1g3eh000ujvs05wfkt6wm,"Mengubah akun user ""Agan"""
2026-09-15T12:45:24.834Z,Super Admin,user.update,User,cmtr1g3eh000ujvs05wfkt6wm,"Mengubah akun user ""Agan"""
2026-09-15T12:44:50.654Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-15T12:28:28.398Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T12:13:25.488Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-15T12:13:14.930Z,Angga,auth.loginFailed,Auth,cmtqvqnhc0001jvf0xqwkav66,"Percobaan login gagal (password salah) untuk ""Angga"""
2026-09-15T12:03:03.936Z,Super Admin,project.delete,Project,cmu0uj90u0005rm01h7ggk56i,"Menghapus project ""Testing Prima"" beserta seluruh task dan dokumennya"
2026-09-15T11:56:29.623Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-15T11:56:13.835Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-15T11:56:07.933Z,Wisnuazi,auth.loginFailed,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"Percobaan login gagal (password salah) untuk ""Wisnuazi"""
2026-09-14T10:32:49.546Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-14T10:32:33.180Z,Super Admin,auth.login,Auth,cmtqv9to20000jv4ssyxfce20,"""Super Admin"" login"
2026-09-14T07:27:02.250Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T07:19:45.793Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-14T07:19:34.674Z,Tarmono,auth.loginFailed,Auth,cmtr1g3e4000qjvs0qkxak1vt,"Percobaan login gagal (password salah) untuk ""Tarmono"""
